periode_update,nama_daerah_irigasi,utama,tersier,gabungan,luas_hektar
Tahun 2020,Kadalpang,"53,6","22,3","47,4",102
Tahun 2020,Sedudut,0,"1,2","0,6",96
Tahun 2020,Sbr. Gayam,"57,3","24,6","50,8",1025
Tahun 2020,Jaten Termas,"39,6","59,1","47,4",16
Tahun 2020,Gunting,"70,6","71,9","71,1",749
Tahun 2020,Kembangan,"61,1","76,2","67,1",399
Tahun 2020,Klitik Bendokrosok,"65,2","69,5","66,9",330.97
Tahun 2020,Klitih Kresek,"70,8","74,7","72,7",38
Tahun 2020,Ngaglik,"42,8","59,1",51,204
Tahun 2020,Tawangsari,"54,2","73,4","63,8",630
Tahun 2020,Kejagan,"57,1","74,7","64,1",65
Tahun 2020,Kaweden,"56,1","76,4","66,3",47
Tahun 2020,Mernung,"54,3","71,6","61,2",51
Tahun 2020,Subantoro,"55,9","25,4","43,7",327
Tahun 2020,Penewon,"53,1","23,4","41,3",120.54
Tahun 2020,Candi Limo,"54,6","28,2","49,4",38
Tahun 2020,Cau,"27,6","8,1","23,7",42
Tahun 2020,Brangkal Bawah,0,"0,7","0,1",46.38
Tahun 2020,Piring 1,0,"0,7","0,3",106
Tahun 2020,Sono,0,"0,7","0,3",1198
Tahun 2020,Trate,"58,3",54,"56,6",69
Tahun 2020,Kedungrejo,0,"0,7","0,1",58.9
Tahun 2020,Gandongkerik,0,"0,7","0,3",22
Tahun 2020,Turi,0,"0,7","0,3",46.9
Tahun 2020,Dung Timun,0,"0,7","0,3",87.34
Tahun 2020,Dung lo,"62,1","46,7",56,134
Tahun 2020,Klalung,0,"0,7","0,3",62
Tahun 2020,Kerep,0,"0,7","0,1",63
Tahun 2020,Taji,0,"0,7","0,3",54
Tahun 2020,Kuluhan,0,"1,1","0,4",66
Tahun 2020,Jabung,0,"2,3","1,1",464.58
Tahun 2020,Rawa Jabung,0,"0,7","0,1",170
Tahun 2020,Waduk Sumengko,0,"0,7","0,1",1697
Tahun 2020,Sbr. Pakem,"68,8","65,8","68,2",85
Tahun 2020,Arjasa,59,"62,9",61,65
Tahun 2020,Nurbiha,"70,8","33,9",56,131
Tahun 2020,Gumbolo/ Dawuhan,"58,1","29,8","46,8",1329
Tahun 2020,Pringduri,"73,8","32,4","53,1",339
Tahun 2020,Lontong,0,2,"0,8",278
Tahun 2020,Warujinggo,0,2,1,145
Tahun 2020,Taposan,0,"1,2","0,5",114.51
Tahun 2020,Grinting,0,"1,2","0,5",100
Tahun 2020,Licin,"23,6","2,3","15,1",56
Tahun 2020,Pleret,"1,9","1,2","1,6",68
Tahun 2020,Ketandan,"76,1","79,1","76,7",27
Tahun 2020,Pohblembem,0,"0,7","0,1",1630
Tahun 2020,Bulakmojo,"22,9",0,"18,3",1205
Tahun 2020,Kedung Gerit,"56,2","26,9","50,3",158
Tahun 2020,Slumbung,"68,4",70,"68,8",51
Tahun 2020,Jatimlerek,"76,9",72,76,165
Tahun 2020,Kromong II,"34,2",0,"27,4",388
Tahun 2020,Sewu,0,"1,3","0,3",197
Tahun 2020,Bedilan,0,"0,7","0,1",417
Tahun 2020,Wates,0,"2,3","0,5",1338
Tahun 2020,Sarangan,0,"0,7","0,1",742
Tahun 2020,Notopuro,0,"0,7","0,1",2007
Tahun 2020,Cepogo,"57,6","38,5","49,9",1259
Tahun 2020,Watu Putih,"24,2",2,"19,7",1290
Tahun 2020,Sumorobangun,28,"14,9","25,4",1460
Tahun 2020,Kedung Bendo,0,"0,7","0,1",1060
Tahun 2020,Pang,0,"2,3","0,5",2430
Tahun 2020,Gurdo,"3,7","0,7","3,1",550
Tahun 2020,Bekoh,0,"0,7","0,1",2951
Tahun 2020,Teguhan,0,"0,7","0,1",50
Tahun 2020,Kedungputri,"14,3","0,7","11,6",428
Tahun 2020,Guyung,0,"0,7","0,1",292
Tahun 2020,Widodaren,0,"0,7","0,1",978
Tahun 2020,Wd. Leran,"35,5","23,6","33,1",618.66
Tahun 2020,Pirang,"26,6",40,"29,3",2000
Tahun 2020,C a w a k,0,"0,7","0,1",1104.8
Tahun 2020,N g l i r i p,0,"0,7","0,1",189.51
Tahun 2020,Merak Urak,0,"0,7","0,1",114.18
Tahun 2020,K e n i n g,"17,3",11,16,62.55
Tahun 2020,Wd. Rande,0,"0,7","0,1",695.93
Tahun 2020,Rawa Semando,0,"0,7","0,1",599.18
Tahun 2020,Balud,"62,9","32,9","56,9",491.87
Tahun 2020,Wonosroyo,"75,3","34,2","67,1",64.12
Tahun 2020,Nangger,"54,3","23,7","48,2",1334.98
Tahun 2020,Gembleng,"53,5",23,"47,4",1897.72
Tahun 2020,Sumber Nangka,"68,9",75,"70,1",1127.78
Tahun 2020,Kembar,"69,8","67,4","69,3",1766.98
Tahun 2020,Grogol,"69,7","74,3","70,7",1495.84
Tahun 2020,Mrawan,"70,6","69,8","70,4",732
Tahun 2020,Kottok,"77,4","74,3","76,8",512
Tahun 2020,Bago,"74,8",76,75,282
Tahun 2020,Kertosari,"68,4","71,7","69,1",2481
Tahun 2020,Karanglo,"69,9","71,2","70,2",1634.16
Tahun 2020,Tekung I,"72,3","77,8","73,4",1447.38
Tahun 2020,Curah Menjangan/Kedungsangku,74,"78,5","74,9",1057.08
Tahun 2020,Umbul Pringtali.,"68,2","66,8",68,1013.91
Tahun 2020,Brug Purwo,"65,9","68,5","66,4",1348.78
Tahun 2020,Jurang Dawir.,"73,2",77,74,1011.71
Tahun 2020,Arah Makam Bawah,0,"2,3","0,5",1103.15
Tahun 2020,Sbr. Bendo Jeruk,"54,5","25,1","48,7",1008.5
Tahun 2020,Pateguan,0,"1,2","0,2",1175
Tahun 2020,Baong,"52,6","39,2","49,9",1089
Tahun 2020,Domas,"53,9","10,7","45,3",194
Tahun 2020,Dam Ombul,"51,6","19,3","45,2",716
Tahun 2020,Badas,"72,5","75,3","73,6",324
Tahun 2020,Dermen,"0,6",2,"0,9",1650
Tahun 2020,Kening,"29,4",0,"23,5",812
Tahun 2020,Mojopurno,0,"1,3","0,7",2126
Tahun 2020,Galok Atas/Soponyono,"9,9",2,6,1180
Tahun 2020,Ngablak,"70,7","71,5",71,1200
Tahun 2020,Pesantren,"70,4","76,6","73,5",1019
Tahun 2020,Betis/Ngreco,"66,7","71,9","69,3",234
Tahun 2020,Sumber Nyamplong,"37,3","33,7","35,5",383
Tahun 2020,Bujel,"66,6","68,9","67,8",224
Tahun 2021,Sedudut,"59,9","37,9","48,9",155
Tahun 2021,Widoro,"55,9","26,5",50,605.95
Tahun 2021,Jaten Termas,"60,6",72,"65,2",2210
Tahun 2021,Gunting,"68,2","68,7","68,4",756
Tahun 2021,Kembangan,"57,1","68,2","61,5",208
Tahun 2021,Klitik Bendokrosok,"72,2","72,1","72,2",20
Tahun 2021,Klitih Kresek,"28,5","12,2","20,4",60
Tahun 2021,Tawangsari,0,"0,3","0,2",20
Tahun 2021,Kejagan,64,"68,7","65,8",1976
Tahun 2021,Mernung,"66,9",73,"69,4",1678
Tahun 2021,Sinoman,"52,8","24,4","41,5",1281
Tahun 2021,Cau,0,"0,7","0,1",1293
Tahun 2021,Piring 1,"51,4","28,2","42,1",1861
Tahun 2021,Gandongkerik,0,"0,7","0,3",1292
Tahun 2021,Margopadang,"67,4","31,2","52,9",1194
Tahun 2021,Turi,0,"0,7","0,3",1341
Tahun 2021,Kerep,0,"0,7","0,1",1020
Tahun 2021,Rawa Jabung,0,"0,7","0,1",1359
Tahun 2021,Kali Corong,0,"0,7","0,1",1389
Tahun 2021,Waduk Sumengko,0,"0,7","0,1",1768
Tahun 2021,Sbr. Pakem,"67,5","60,1",66,1065
Tahun 2021,Arjasa,"61,9","57,2","59,5",1734
Tahun 2021,Nurbiha,"72,6","33,9","57,1",879
Tahun 2021,Gumbolo/ Dawuhan,"58,1","29,8","46,8",1635.05
Tahun 2021,Pringduri,"73,6","32,4",53,1027
Tahun 2021,Bajulmati,62,"34,3","50,9",1701
Tahun 2021,Warujinggo,0,2,1,1238
Tahun 2021,Licin,0,"2,3","0,9",2192
Tahun 2021,Tanggulangin,"54,9","26,5","49,2",1239
Tahun 2021,Ketandan,75,"74,3","74,9",2156
Tahun 2021,Pohblembem,"73,1","75,3","73,5",1421
Tahun 2021,Kedung Gerit,0,"1,2","0,2",1890
Tahun 2021,Slumbung,"71,4","72,7","71,7",1427
Tahun 2021,Jatimlerek,"52,5","68,7","55,8",1189
Tahun 2021,Sewu,0,"1,3","0,3",1376
Tahun 2021,Wates,0,"2,3","0,5",1202
Tahun 2021,Sarangan,0,"0,7","0,1",241
Tahun 2021,Notopuro,0,"0,7","0,1",289
Tahun 2021,Dalem,0,2,"0,4",318
Tahun 2021,Cepogo,0,2,"0,8",60
Tahun 2021,Watu Putih,"65,3","40,7","60,4",80
Tahun 2021,Sumorobangun,0,2,"0,4",1060
Tahun 2021,Sampung,0,2,"0,4",1389
Tahun 2021,Kedung Bendo,0,"0,7","0,1",1954
Tahun 2021,Pang,0,"2,3","0,5",775.6
Tahun 2021,Gurdo,0,"0,7","0,1",1403.5
Tahun 2021,Bekoh,0,"0,7","0,1",1715
Tahun 2021,Teguhan,0,"0,7","0,1",1171
Tahun 2021,Kedungputri,0,"0,7","0,1",1785
Tahun 2021,Guyung,0,"0,7","0,1",1348
Tahun 2021,Widodaren,0,"0,7","0,1",1151
Tahun 2021,Pirang,0,"0,7","0,1",2379
Tahun 2021,C a w a k,0,"0,7","0,1",1198
Tahun 2021,M a i b i t,"61,2","52,6","59,5",1596
Tahun 2021,N g l i r i p,0,"0,7","0,1",1707
Tahun 2021,Merak Urak,0,"0,7","0,1",1013
Tahun 2021,Wd. Rande,0,"0,7","0,1",2394
Tahun 2021,Rawa Cungkup,0,"1,1","0,2",1122
Tahun 2021,Rawa Semando,0,"0,7","0,1",1463
